source,target,date_min
file10357,file10360,1534-02-16
file10357,file10363,1534-02-16
file10359,file10368,1534-02-18
file1036,file979,1550-08-05
file10360,file10369,1534-02-23
file10360,file10363,1534-02-23
file10360,file10373,1534-02-23
file10362,file10372,1534-02-26
file10362,file10370,1534-02-26
file10363,file10375,1534-02-28
file10363,file10373,1534-02-28
file10363,file10369,1534-02-28
file10364,file10378,1534-03-01
file10367,file10377,1534-03-11
file10369,file10375,1534-03-12
file10369,file10386,1534-03-12
file10369,file10382,1534-03-12
file10369,file10376,1534-03-12
file10369,file10373,1534-03-12
file10369,file10384,1534-03-12
file10370,file10372,1534-03-14
file10372,file10389,1534-03-21
file10373,file10375,1534-03-23
file10373,file10391,1534-03-23
file10373,file10382,1534-03-23
file10373,file10386,1534-03-23
file10373,file10392,1534-03-23
file10373,file10376,1534-03-23
file10373,file10388,1534-03-23
file10373,file10384,1534-03-23
file10375,file10376,1534-03-29
file10375,file10395,1534-03-29
file10375,file10388,1534-03-29
file10375,file10384,1534-03-29
file10375,file10391,1534-03-29
file10375,file10382,1534-03-29
file10375,file10386,1534-03-29
file10375,file10392,1534-03-29
file10376,file10395,1534-03-31
file10376,file10384,1534-03-31
file10376,file10388,1534-03-31
file10376,file10391,1534-03-31
file10376,file10386,1534-03-31
file10376,file10392,1534-03-31
file10376,file10382,1534-03-31
file10378,file10399,1534-03-31
file10382,file10395,1534-04-06
file10382,file10388,1534-04-06
file10382,file10384,1534-04-06
file10382,file10391,1534-04-06
file10382,file10386,1534-04-06
file10382,file10392,1534-04-06
file10384,file10391,1534-04-08
file10384,file10392,1534-04-08
file10384,file10395,1534-04-08
file10384,file10388,1534-04-08
file10384,file10386,1534-04-08
file10385,file10397,1534-04-09
file10385,file10387,1534-04-09
file10385,file10393,1534-04-09
file10386,file10388,1534-04-10
file10386,file10391,1534-04-10
file10386,file10392,1534-04-10
file10386,file10395,1534-04-10
file10387,file10393,1534-04-14
file10387,file10397,1534-04-14
file10388,file10391,1534-04-18
file10388,file10392,1534-04-18
file10388,file10409,1534-04-18
file10388,file10395,1534-04-18
file10389,file10402,1534-04-18
file10389,file10406,1534-04-18
file1039,file1040,1550-10-02
file1039,file1045,1550-10-02
file10391,file10411,1534-04-20
file10391,file10392,1534-04-20
file10391,file10409,1534-04-20
file10391,file10395,1534-04-20
file10392,file10411,1534-04-22
file10392,file10409,1534-04-22
file10392,file10395,1534-04-22
file10393,file10397,1534-04-23
file10395,file10409,1534-04-24
file10395,file10411,1534-04-24
file10396,file10408,1534-04-24
file10396,file10412,1534-04-24
file104,file89,1548-04-11
file104,file130,1548-04-28
file1040,file1045,1550-10-02
file10402,file10406,1534-05-03
file10402,file10419,1534-05-03
file10402,file10413,1534-05-03
file10406,file10425,1534-05-07
file10406,file10419,1534-05-07
file10406,file10413,1534-05-07
file10408,file10412,1534-05-18
file10409,file10423,1534-05-18
file10409,file10411,1534-05-18
file10409,file13151,1534-05-18
file10409,file10424,1534-05-18
file10409,file10420,1534-05-18
file10409,file10430,1534-05-18
file10409,file10422,1534-05-18
file1041,file1059,1550-10-04
file1041,file1068,1550-10-04
file1041,file1049,1550-10-04
file1041,file1067,1550-10-04
file10411,file10423,1534-05-20
file10411,file13151,1534-05-20
file10411,file10424,1534-05-20
file10411,file10420,1534-05-20
file10411,file10430,1534-05-20
file10411,file10422,1534-05-20
